contrast,tested,K,n_roi,contrast_sum_tp,tp_per_unit_alpha_per_roi,ci_low,ci_high,wins,losses,ties,n_nonzero,exact_p,ci_excludes_0,holm_p
trend_alpha_0_1_2,True,10,49,40,0.40816326530612246,-0.1836734693877551,0.9183673469387755,27,12,10,39,0.17083407083555358,False,0.17083407083555358
trend_alpha_0_1_2,True,20,49,198,2.020408163265306,1.1119897959183676,2.9183673469387754,36,7,6,43,2.68795936335664e-05,True,5.37591872671328e-05
trend_alpha_0_1_2,True,30,49,276,2.816326530612245,1.7755102040816326,3.877551020408163,36,7,6,43,2.516044332878664e-06,True,7.548132998635992e-06
anchor_all_4_levels,False,10,49,1281,2.6142857142857143,2.093877551020408,3.163316326530612,46,0,3,46,2.842170943040401e-14,True,
anchor_all_4_levels,False,20,49,2768,5.648979591836735,4.722448979591837,6.595969387755101,48,0,1,48,7.105427357601002e-15,True,
anchor_all_4_levels,False,30,49,3813,7.781632653061225,6.363265306122449,9.246938775510204,48,0,1,48,7.105427357601002e-15,True,
