K,n_roi,mean_precision_chromatin_od,mean_precision_od_contrast,mean_diff_precision,mean_diff_detections_per_roi,n_pos,n_neg,n_tied,p_exact_sign_flip,boot_ci_lo,boot_ci_hi,wilcoxon_p,wilcoxon_n_zero_dropped,paired_t_p
10,14,0.6214285714285716,0.6357142857142858,-0.014285714285714292,-0.14285714285714293,4,5,5,0.87109375,-0.1,0.07142857142857141,0.6770625436041271,5,0.7522089872436561
20,14,0.6107142857142857,0.6178571428571429,-0.00714285714285713,-0.1428571428571426,4,5,5,0.8515625,-0.04285714285714285,0.028571428571428577,1.0,5,0.7100388684917889
30,14,0.5595238095238095,0.55,0.009523809523809516,0.2857142857142855,7,5,2,0.64599609375,-0.01904761904761908,0.03809523809523811,0.7229551463409801,2,0.5470282358545153
