file_name,tumor_type,image_id,seed_ann_id,base_size,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,z_at_rank,precision_at_budget
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,94.0,437.0,723.0,825.0,825.0,825.0,10,10,4,1,0.23529411764705882,21.73069861933154,0.4
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,94.0,437.0,723.0,825.0,825.0,825.0,20,20,5,2,0.29411764705882354,20.06458866956103,0.25
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,94.0,437.0,723.0,825.0,825.0,825.0,30,30,6,3,0.35294117647058826,19.004317742411153,0.2
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,94.0,437.0,723.0,825.0,825.0,825.0,50,50,6,4,0.35294117647058826,17.96492136911779,0.12
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,226.0,843.0,1223.0,1431.0,2645.0,2645.0,10,10,4,5,0.04938271604938271,19.890905720313757,0.4
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,226.0,843.0,1223.0,1431.0,2645.0,2645.0,20,20,10,7,0.12345679012345678,18.83279311006635,0.5
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,226.0,843.0,1223.0,1431.0,2645.0,2645.0,30,30,16,9,0.19753086419753085,18.084782191107394,0.5333333333333333
094.tiff,human breast cancer,94,2512,25,-0.00341,0.04558,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18628,0.9748,102,2,0.0,1.0,32.63,226.0,843.0,1223.0,1431.0,2645.0,2645.0,50,50,22,13,0.2716049382716049,16.4398184943882,0.44
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,44.0,215.0,261.0,726.0,726.0,726.0,10,10,3,1,0.17647058823529413,6.377013059849014,0.3
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,44.0,215.0,261.0,726.0,726.0,726.0,20,20,6,1,0.35294117647058826,6.062897912957492,0.3
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,44.0,215.0,261.0,726.0,726.0,726.0,30,30,6,3,0.35294117647058826,5.945620459092528,0.2
201.tiff,canine lung cancer,201,4457,51,-0.02898,0.60896,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15779,0.9372,49,2,0.0,1.0,30.222,44.0,215.0,261.0,726.0,726.0,726.0,50,50,11,6,0.6470588235294118,5.648930574561939,0.22
233.tiff,canine lung cancer,233,5761,25,-0.01285,0.16917,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17256,0.9571,22,2,0.0,1.0,30.222,46.0,383.0,753.0,1666.0,1666.0,1666.0,10,10,3,1,0.17647058823529413,9.509597732010844,0.3
233.tiff,canine lung cancer,233,5761,25,-0.01285,0.16917,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17256,0.9571,22,2,0.0,1.0,30.222,46.0,383.0,753.0,1666.0,1666.0,1666.0,20,20,6,2,0.35294117647058826,9.070200931381073,0.3
233.tiff,canine lung cancer,233,5761,25,-0.01285,0.16917,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17256,0.9571,22,2,0.0,1.0,30.222,46.0,383.0,753.0,1666.0,1666.0,1666.0,30,30,7,3,0.4117647058823529,8.824995928645249,0.23333333333333334
233.tiff,canine lung cancer,233,5761,25,-0.01285,0.16917,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17256,0.9571,22,2,0.0,1.0,30.222,46.0,383.0,753.0,1666.0,1666.0,1666.0,50,50,9,3,0.5294117647058824,8.52487742423632,0.18
245.tiff,canine lymphosarcoma,245,6274,47,-0.00692,0.21694,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,89,70,17684,0.9663,69,2,0.0,1.0,30.222,2896.0,6321.0,9356.0,10557.0,15929.0,15929.0,10,10,1,1,0.011235955056179775,5.442204662824148,0.1
245.tiff,canine lymphosarcoma,245,6274,47,-0.00692,0.21694,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,89,70,17684,0.9663,69,2,0.0,1.0,30.222,2896.0,6321.0,9356.0,10557.0,15929.0,15929.0,20,20,3,1,0.033707865168539325,5.2335662022349885,0.15
245.tiff,canine lymphosarcoma,245,6274,47,-0.00692,0.21694,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,89,70,17684,0.9663,69,2,0.0,1.0,30.222,2896.0,6321.0,9356.0,10557.0,15929.0,15929.0,30,30,3,1,0.033707865168539325,4.951294161227251,0.1
245.tiff,canine lymphosarcoma,245,6274,47,-0.00692,0.21694,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,89,70,17684,0.9663,69,2,0.0,1.0,30.222,2896.0,6321.0,9356.0,10557.0,15929.0,15929.0,50,50,4,1,0.0449438202247191,4.782645627289646,0.08
246.tiff,canine lymphosarcoma,246,6548,41,-0.00539,0.16638,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,115,123,18013,0.9646,123,2,0.0,1.0,30.222,145.0,564.0,1389.0,3196.0,5682.0,7211.0,10,10,10,0,0.08695652173913043,9.499731877785917,1.0
246.tiff,canine lymphosarcoma,246,6548,41,-0.00539,0.16638,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,115,123,18013,0.9646,123,2,0.0,1.0,30.222,145.0,564.0,1389.0,3196.0,5682.0,7211.0,20,20,18,1,0.1565217391304348,8.985985470289098,0.9
246.tiff,canine lymphosarcoma,246,6548,41,-0.00539,0.16638,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,115,123,18013,0.9646,123,2,0.0,1.0,30.222,145.0,564.0,1389.0,3196.0,5682.0,7211.0,30,30,24,3,0.20869565217391303,8.31765537454702,0.8
246.tiff,canine lymphosarcoma,246,6548,41,-0.00539,0.16638,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,115,123,18013,0.9646,123,2,0.0,1.0,30.222,145.0,564.0,1389.0,3196.0,5682.0,7211.0,50,50,31,6,0.26956521739130435,7.768529124611352,0.62
300.tiff,canine cutaneous mast cell tumor,300,14581,45,-0.05764,0.37439,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,180,85,17911,0.9669,85,2,0.0,0.9944444444444445,29.609,304.0,1948.0,4411.0,8349.0,13394.0,,10,10,7,1,0.03888888888888889,8.438924948726493,0.7
300.tiff,canine cutaneous mast cell tumor,300,14581,45,-0.05764,0.37439,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,180,85,17911,0.9669,85,2,0.0,0.9944444444444445,29.609,304.0,1948.0,4411.0,8349.0,13394.0,,20,20,15,3,0.08333333333333333,7.723643065361343,0.75
300.tiff,canine cutaneous mast cell tumor,300,14581,45,-0.05764,0.37439,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,180,85,17911,0.9669,85,2,0.0,0.9944444444444445,29.609,304.0,1948.0,4411.0,8349.0,13394.0,,30,30,20,4,0.1111111111111111,7.548738857000725,0.6666666666666666
300.tiff,canine cutaneous mast cell tumor,300,14581,45,-0.05764,0.37439,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,180,85,17911,0.9669,85,2,0.0,0.9944444444444445,29.609,304.0,1948.0,4411.0,8349.0,13394.0,,50,50,33,5,0.18333333333333332,7.14948545730472,0.66
301.tiff,canine cutaneous mast cell tumor,301,14969,41,-0.01143,0.20673,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,217,109,17583,0.9564,109,2,0.0,0.9953917050691244,29.609,434.0,3083.0,6010.0,8357.0,12687.0,,10,10,9,0,0.041474654377880185,6.5774068333113105,0.9
301.tiff,canine cutaneous mast cell tumor,301,14969,41,-0.01143,0.20673,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,217,109,17583,0.9564,109,2,0.0,0.9953917050691244,29.609,434.0,3083.0,6010.0,8357.0,12687.0,,20,20,16,2,0.07373271889400922,6.124843874035183,0.8
301.tiff,canine cutaneous mast cell tumor,301,14969,41,-0.01143,0.20673,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,217,109,17583,0.9564,109,2,0.0,0.9953917050691244,29.609,434.0,3083.0,6010.0,8357.0,12687.0,,30,30,22,3,0.10138248847926268,5.878961898910548,0.7333333333333333
301.tiff,canine cutaneous mast cell tumor,301,14969,41,-0.01143,0.20673,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,217,109,17583,0.9564,109,2,0.0,0.9953917050691244,29.609,434.0,3083.0,6010.0,8357.0,12687.0,,50,50,32,5,0.14746543778801843,5.672826422142892,0.64
402.tiff,human neuroendocrine tumor,402,20254,29,-0.05754,0.87053,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,104,79,17532,0.9627,79,2,0.0,1.0,33.139,113.0,332.0,488.0,971.0,2185.0,3534.0,10,10,4,2,0.038461538461538464,11.584271704227875,0.4
402.tiff,human neuroendocrine tumor,402,20254,29,-0.05754,0.87053,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,104,79,17532,0.9627,79,2,0.0,1.0,33.139,113.0,332.0,488.0,971.0,2185.0,3534.0,20,20,9,4,0.08653846153846154,10.960072711332776,0.45
402.tiff,human neuroendocrine tumor,402,20254,29,-0.05754,0.87053,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,104,79,17532,0.9627,79,2,0.0,1.0,33.139,113.0,332.0,488.0,971.0,2185.0,3534.0,30,30,14,4,0.1346153846153846,10.462210425468573,0.4666666666666667
402.tiff,human neuroendocrine tumor,402,20254,29,-0.05754,0.87053,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,104,79,17532,0.9627,79,2,0.0,1.0,33.139,113.0,332.0,488.0,971.0,2185.0,3534.0,50,50,22,9,0.21153846153846154,9.992270565410402,0.44
403.tiff,human neuroendocrine tumor,403,20356,51,-0.00668,0.7329,0.22686065932495555,tm_score_deep_floor,score,True,-1.5,True,False,52,47,16007,0.9274,41,2,0.0,1.0,33.06,150.0,546.0,1884.0,3668.0,5660.0,5660.0,10,10,5,1,0.09615384615384616,18.81480716382636,0.5
403.tiff,human neuroendocrine tumor,403,20356,51,-0.00668,0.7329,0.22686065932495555,tm_score_deep_floor,score,True,-1.5,True,False,52,47,16007,0.9274,41,2,0.0,1.0,33.06,150.0,546.0,1884.0,3668.0,5660.0,5660.0,20,20,7,1,0.1346153846153846,17.195792580835775,0.35
403.tiff,human neuroendocrine tumor,403,20356,51,-0.00668,0.7329,0.22686065932495555,tm_score_deep_floor,score,True,-1.5,True,False,52,47,16007,0.9274,41,2,0.0,1.0,33.06,150.0,546.0,1884.0,3668.0,5660.0,5660.0,30,30,8,2,0.15384615384615385,16.12096482122864,0.26666666666666666
403.tiff,human neuroendocrine tumor,403,20356,51,-0.00668,0.7329,0.22686065932495555,tm_score_deep_floor,score,True,-1.5,True,False,52,47,16007,0.9274,41,2,0.0,1.0,33.06,150.0,546.0,1884.0,3668.0,5660.0,5660.0,50,50,15,2,0.28846153846153844,14.8329500417433,0.3
459.tiff,canine soft tissue sarcoma,459,22441,33,-0.05077,0.50321,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,130,90,17994,0.9647,90,2,0.0,1.0,30.222,439.0,2464.0,4753.0,8076.0,11965.0,12838.0,10,10,5,3,0.038461538461538464,7.603827955944949,0.5
459.tiff,canine soft tissue sarcoma,459,22441,33,-0.05077,0.50321,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,130,90,17994,0.9647,90,2,0.0,1.0,30.222,439.0,2464.0,4753.0,8076.0,11965.0,12838.0,20,20,10,5,0.07692307692307693,7.007697100527346,0.5
459.tiff,canine soft tissue sarcoma,459,22441,33,-0.05077,0.50321,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,130,90,17994,0.9647,90,2,0.0,1.0,30.222,439.0,2464.0,4753.0,8076.0,11965.0,12838.0,30,30,15,6,0.11538461538461539,6.886274224223715,0.5
459.tiff,canine soft tissue sarcoma,459,22441,33,-0.05077,0.50321,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,130,90,17994,0.9647,90,2,0.0,1.0,30.222,439.0,2464.0,4753.0,8076.0,11965.0,12838.0,50,50,24,10,0.18461538461538463,6.49493623992059,0.48
460.tiff,canine soft tissue sarcoma,460,22577,47,-0.16041,0.98334,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,35,40,15601,0.9304,40,2,0.0,1.0,30.222,79.0,652.0,3333.0,5132.0,9825.0,9825.0,10,10,7,1,0.2,7.555848025402868,0.7
460.tiff,canine soft tissue sarcoma,460,22577,47,-0.16041,0.98334,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,35,40,15601,0.9304,40,2,0.0,1.0,30.222,79.0,652.0,3333.0,5132.0,9825.0,9825.0,20,20,11,3,0.3142857142857143,6.929443125167565,0.55
460.tiff,canine soft tissue sarcoma,460,22577,47,-0.16041,0.98334,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,35,40,15601,0.9304,40,2,0.0,1.0,30.222,79.0,652.0,3333.0,5132.0,9825.0,9825.0,30,30,12,4,0.34285714285714286,6.587814541664268,0.4
460.tiff,canine soft tissue sarcoma,460,22577,47,-0.16041,0.98334,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,35,40,15601,0.9304,40,2,0.0,1.0,30.222,79.0,652.0,3333.0,5132.0,9825.0,9825.0,50,50,15,8,0.42857142857142855,6.326252702522373,0.3
529.tiff,human melanoma,529,24918,37,-0.05079,0.28689,0.2268329263261596,tm_score_deep_floor,score,True,-1.5,True,False,19,25,16625,0.9441,25,2,0.0,1.0,33.064,133.0,1188.0,1775.0,1844.0,1844.0,1844.0,10,10,3,2,0.15789473684210525,12.675248615359688,0.3
529.tiff,human melanoma,529,24918,37,-0.05079,0.28689,0.2268329263261596,tm_score_deep_floor,score,True,-1.5,True,False,19,25,16625,0.9441,25,2,0.0,1.0,33.064,133.0,1188.0,1775.0,1844.0,1844.0,1844.0,20,20,4,2,0.21052631578947367,12.198064906740411,0.2
529.tiff,human melanoma,529,24918,37,-0.05079,0.28689,0.2268329263261596,tm_score_deep_floor,score,True,-1.5,True,False,19,25,16625,0.9441,25,2,0.0,1.0,33.064,133.0,1188.0,1775.0,1844.0,1844.0,1844.0,30,30,5,4,0.2631578947368421,11.733611127603004,0.16666666666666666
529.tiff,human melanoma,529,24918,37,-0.05079,0.28689,0.2268329263261596,tm_score_deep_floor,score,True,-1.5,True,False,19,25,16625,0.9441,25,2,0.0,1.0,33.064,133.0,1188.0,1775.0,1844.0,1844.0,1844.0,50,50,6,5,0.3157894736842105,11.149569309402375,0.12
548.tiff,human melanoma,548,25804,29,-0.06174,0.5016,0.22744294261267478,tm_score_deep_floor,score,True,-1.5,True,False,238,118,17824,0.9629,118,2,0.0,1.0,32.975,227.0,540.0,780.0,1349.0,4617.0,16836.0,10,10,4,3,0.01680672268907563,15.517791129063607,0.4
