subset,pair,K,n_roi_old,pooled_delta_precision_old,wins_old,losses_old,ties_old,n_nonzero_old,exact_p_old,ci_low_old,ci_high_old,n_same_direction_old,ci_excludes_0_old,majority_of_all_rois_old,d5_bar_met_old,holm_p_old,n_roi_new,pooled_delta_precision_new,wins_new,losses_new,ties_new,n_nonzero_new,exact_p_new,ci_low_new,ci_high_new,n_same_direction_new,ci_excludes_0_new,majority_of_all_rois_new,d5_bar_met_new,holm_p_new,delta_pts_old,delta_pts_new,sign_old,sign_new,sign_kept,wlt_old,wlt_new,ci_old,ci_new,d5_kept
original_14,hem_bbox - default_51,30,14,-0.05,3,9,2,12,0.04248046875,-0.0992063492063492,-0.009523809523809525,9,True,True,True,,14,-0.05,3,9,2,12,0.04248046875,-0.0992063492063492,-0.009523809523809525,9,True,True,True,,-5.0,-5.0,-1,-1,True,3/9/2,3/9/2,"[-9.92, -0.95]","[-9.92, -0.95]",True
original_14,hem_bbox - gray_bbox,10,14,-0.01904761904761905,3,5,6,8,0.6171875,-0.06428571428571428,0.011904761904761904,5,False,False,False,,14,-0.01904761904761905,3,5,6,8,0.6171875,-0.06428571428571428,0.011904761904761904,5,False,False,False,,-1.905,-1.905,-1,-1,True,3/5/6,3/5/6,"[-6.43, +1.19]","[-6.43, +1.19]",True
original_14,hem_bbox - gray_bbox,20,14,-0.04285714285714286,3,10,1,13,0.0458984375,-0.0988095238095238,-0.005952380952380952,10,True,True,True,,14,-0.04404761904761905,3,10,1,13,0.0380859375,-0.1,-0.007142857142857143,10,True,True,True,,-4.286,-4.405,-1,-1,True,3/10/1,3/10/1,"[-9.88, -0.60]","[-10.00, -0.71]",True
original_14,hem_bbox - gray_bbox,30,14,-0.04285714285714286,2,11,1,13,0.017578125,-0.08571428571428572,-0.011904761904761904,11,True,True,True,,14,-0.04285714285714286,2,11,1,13,0.016845703125,-0.08494047619047618,-0.011904761904761904,11,True,True,True,,-4.286,-4.286,-1,-1,True,2/11/1,2/11/1,"[-8.57, -1.19]","[-8.49, -1.19]",True
testing_35,gray_bbox - default_51,10,35,-0.009523809523809525,10,13,12,23,0.44310808181762695,-0.030476190476190476,0.012380952380952381,13,False,False,False,0.44310808181762695,35,-0.009523809523809525,9,13,13,22,0.4292278289794922,-0.029523809523809525,0.011428571428571429,13,False,False,False,0.4292278289794922,-0.952,-0.952,-1,-1,True,10/13/12,9/13/13,"[-3.05, +1.24]","[-2.95, +1.14]",True
testing_35,gray_bbox - default_51,20,35,-0.024285714285714285,8,23,4,31,0.008120142854750156,-0.040952380952380955,-0.007619047619047619,23,True,True,True,0.032480571419000626,35,-0.024761904761904763,8,23,4,31,0.004975222982466221,-0.040952380952380955,-0.009047619047619047,23,True,True,True,0.019900891929864883,-2.429,-2.476,-1,-1,True,8/23/4,8/23/4,"[-4.10, -0.76]","[-4.10, -0.90]",True
testing_35,gray_bbox - default_51,30,35,-0.024444444444444446,4,21,10,25,0.00019669532775878906,-0.0381031746031746,-0.012698412698412698,21,True,True,True,0.0013768672943115234,35,-0.024761904761904763,5,21,9,26,0.00013056397438049316,-0.03841269841269841,-0.013333333333333334,21,True,True,True,0.0009139478206634521,-2.444,-2.476,-1,-1,True,4/21/10,5/21/9,"[-3.81, -1.27]","[-3.84, -1.33]",True
testing_35,hem_bbox - default_51,10,35,-0.03238095238095238,6,20,9,26,0.0952170193195343,-0.06571428571428571,0.004761904761904762,20,False,True,False,0.1904340386390686,35,-0.03333333333333333,6,20,9,26,0.0877840518951416,-0.06666666666666667,0.003833333333332987,20,False,True,False,0.1755681037902832,-3.238,-3.333,-1,-1,True,6/20/9,6/20/9,"[-6.57, +0.48]","[-6.67, +0.38]",True
testing_35,hem_bbox - default_51,20,35,-0.05333333333333334,5,26,4,31,0.00020505115389823914,-0.07714285714285714,-0.029047619047619048,26,True,True,True,0.0013768672943115234,35,-0.05476190476190476,5,26,4,31,0.00016114767640829086,-0.07857142857142857,-0.03,26,True,True,True,0.0009668860584497452,-5.333,-5.476,-1,-1,True,5/26/4,5/26/4,"[-7.71, -2.90]","[-7.86, -3.00]",True
testing_35,hem_bbox - default_51,30,35,-0.054603174603174605,4,27,4,31,3.1189993023872375e-06,-0.07587301587301587,-0.035555555555555556,27,True,True,True,2.8070993721485138e-05,35,-0.05619047619047619,4,27,4,31,2.389773726463318e-06,-0.07746031746031747,-0.037142857142857144,27,True,True,True,2.150796353816986e-05,-5.46,-5.619,-1,-1,True,4/27/4,4/27/4,"[-7.59, -3.56]","[-7.75, -3.71]",True
testing_35,hem_bbox - gray_bbox,10,35,-0.022857142857142857,4,18,13,22,0.05773353576660156,-0.04380952380952381,-0.0009523809523809524,18,True,True,True,0.1732006072998047,35,-0.023809523809523808,4,18,13,22,0.054398536682128906,-0.045714285714285714,-0.0009523809523809524,18,True,True,True,0.16319561004638672,-2.286,-2.381,-1,-1,True,4/18/13,4/18/13,"[-4.38, -0.10]","[-4.57, -0.10]",True
testing_35,hem_bbox - gray_bbox,20,35,-0.029047619047619048,5,21,9,26,0.0007341206073760986,-0.04428571428571428,-0.014285714285714285,21,True,True,True,0.003670603036880493,35,-0.03,4,20,11,24,0.0007623434066772461,-0.045714285714285714,-0.014761904761904763,20,True,True,True,0.0038117170333862305,-2.905,-3.0,-1,-1,True,5/21/9,4/20/11,"[-4.43, -1.43]","[-4.57, -1.48]",True
testing_35,hem_bbox - gray_bbox,30,35,-0.03015873015873016,3,22,10,25,6.693601608276367e-05,-0.04666666666666667,-0.01619047619047619,22,True,True,True,0.0005354881286621094,35,-0.03142857142857143,3,24,8,27,3.4675002098083496e-05,-0.047626984126984115,-0.01746031746031746,24,True,True,True,0.00027740001678466797,-3.016,-3.143,-1,-1,True,3/22/10,3/24/8,"[-4.67, -1.62]","[-4.76, -1.75]",True
