file_name,joint_click,production_gray_click,production_hem_click,round1_pixel_gray_click,round1_pixel_hem_click,production_gray_differs_from_joint
013.tiff,249,254,249,254,249,True
094.tiff,2512,2512,2512,2512,2512,False
201.tiff,4457,4457,4457,4457,4457,False
233.tiff,5761,5761,5761,5761,5761,False
245.tiff,6317,6274,6317,6274,6317,True
246.tiff,6548,6548,6548,6548,6548,False
300.tiff,14499,14581,14499,14581,14499,True
301.tiff,14969,14969,14969,14969,14969,False
402.tiff,20254,20254,20254,20254,20254,False
403.tiff,20356,20356,20356,20356,20356,False
459.tiff,22441,22441,22441,22441,22441,False
460.tiff,22577,22577,22577,22577,22577,False
529.tiff,24918,24918,24918,24918,24918,False
548.tiff,25804,25804,25804,25804,25804,False
