file_name,domain,n_gt_mitotic,n_detections,z_at_rank_10,budget_delivered_10,tp_at_10,precision_at_10,z_at_rank_20,budget_delivered_20,tp_at_20,precision_at_20,z_at_rank_30,budget_delivered_30,tp_at_30,precision_at_30,z_at_rank_50,budget_delivered_50,tp_at_50,precision_at_50
300.tiff,canine cutaneous mast cell tumor,180,17792,8.032,10,8,0.8,7.289,20,14,0.7,7.124,30,23,0.7667,6.775,50,36,0.72
301.tiff,canine cutaneous mast cell tumor,217,17805,7.023,10,7,0.7,6.816,20,16,0.8,6.648,30,25,0.8333,6.388,50,41,0.82
201.tiff,canine lung cancer,17,15536,7.009,10,3,0.3,6.548,20,6,0.3,6.206,30,7,0.2333,5.844,50,10,0.2
233.tiff,canine lung cancer,17,17489,11.403,10,5,0.5,10.613,20,9,0.45,10.299,30,9,0.3,9.962,50,9,0.18
245.tiff,canine lymphosarcoma,89,19191,6.854,10,0,0.0,6.249,20,2,0.1,6.101,30,2,0.0667,5.869,50,3,0.06
246.tiff,canine lymphosarcoma,115,17573,11.73,10,10,1.0,10.694,20,19,0.95,9.968,30,29,0.9667,8.919,50,42,0.84
459.tiff,canine soft tissue sarcoma,130,17827,7.845,10,7,0.7,7.425,20,11,0.55,7.029,30,15,0.5,6.682,50,25,0.5
460.tiff,canine soft tissue sarcoma,35,13729,7.196,10,9,0.9,6.784,20,12,0.6,6.425,30,16,0.5333,6.042,50,18,0.36
013.tiff,human breast cancer,17,17045,15.195,10,5,0.5,13.457,20,7,0.35,12.973,30,10,0.3333,12.048,50,13,0.26
094.tiff,human breast cancer,81,18109,18.497,10,5,0.5,17.562,20,12,0.6,16.979,30,18,0.6,15.707,50,24,0.48
529.tiff,human melanoma,19,15872,11.181,10,5,0.5,10.403,20,5,0.25,10.176,30,6,0.2,9.77,50,9,0.18
548.tiff,human melanoma,238,17268,13.677,10,6,0.6,13.009,20,13,0.65,12.236,30,18,0.6,11.51,50,31,0.62
402.tiff,human neuroendocrine tumor,104,17169,11.835,10,5,0.5,11.295,20,11,0.55,10.908,30,18,0.6,10.383,50,30,0.6
403.tiff,human neuroendocrine tumor,52,17236,10.924,10,4,0.4,10.293,20,6,0.3,9.922,30,10,0.3333,9.306,50,17,0.34
