file_name,tumor_type,branch,budget,n_detections,n_gt_mitotic,budget_delivered,tp_at_budget,precision_at_budget,recall_at_budget
300.tiff,canine cutaneous mast cell tumor,baseline,10,17940,180,10,7,0.7,0.03888888888888889
300.tiff,canine cutaneous mast cell tumor,variant,10,98,180,10,7,0.7,0.03888888888888889
300.tiff,canine cutaneous mast cell tumor,baseline,20,17940,180,20,14,0.7,0.07777777777777778
300.tiff,canine cutaneous mast cell tumor,variant,20,98,180,20,14,0.7,0.07777777777777778
300.tiff,canine cutaneous mast cell tumor,baseline,30,17940,180,30,20,0.6666666666666666,0.1111111111111111
300.tiff,canine cutaneous mast cell tumor,variant,30,98,180,30,20,0.6666666666666666,0.1111111111111111
301.tiff,canine cutaneous mast cell tumor,baseline,10,17710,217,10,9,0.9,0.041474654377880185
301.tiff,canine cutaneous mast cell tumor,variant,10,98,217,10,9,0.9,0.041474654377880185
301.tiff,canine cutaneous mast cell tumor,baseline,20,17710,217,20,18,0.9,0.08294930875576037
301.tiff,canine cutaneous mast cell tumor,variant,20,98,217,20,18,0.9,0.08294930875576037
301.tiff,canine cutaneous mast cell tumor,baseline,30,17710,217,30,24,0.8,0.11059907834101383
301.tiff,canine cutaneous mast cell tumor,variant,30,98,217,30,24,0.8,0.11059907834101383
402.tiff,human neuroendocrine tumor,baseline,10,17532,104,10,4,0.4,0.038461538461538464
402.tiff,human neuroendocrine tumor,variant,10,98,104,10,4,0.4,0.038461538461538464
402.tiff,human neuroendocrine tumor,baseline,20,17532,104,20,9,0.45,0.08653846153846154
402.tiff,human neuroendocrine tumor,variant,20,98,104,20,9,0.45,0.08653846153846154
402.tiff,human neuroendocrine tumor,baseline,30,17532,104,30,14,0.4666666666666667,0.1346153846153846
402.tiff,human neuroendocrine tumor,variant,30,98,104,30,14,0.4666666666666667,0.1346153846153846
403.tiff,human neuroendocrine tumor,baseline,10,16150,52,10,5,0.5,0.09615384615384616
403.tiff,human neuroendocrine tumor,variant,10,98,52,10,5,0.5,0.09615384615384616
403.tiff,human neuroendocrine tumor,baseline,20,16150,52,20,7,0.35,0.1346153846153846
403.tiff,human neuroendocrine tumor,variant,20,98,52,20,7,0.35,0.1346153846153846
403.tiff,human neuroendocrine tumor,baseline,30,16150,52,30,8,0.26666666666666666,0.15384615384615385
403.tiff,human neuroendocrine tumor,variant,30,98,52,30,8,0.26666666666666666,0.15384615384615385
459.tiff,canine soft tissue sarcoma,baseline,10,17806,130,10,6,0.6,0.046153846153846156
459.tiff,canine soft tissue sarcoma,variant,10,99,130,10,6,0.6,0.046153846153846156
459.tiff,canine soft tissue sarcoma,baseline,20,17806,130,20,11,0.55,0.08461538461538462
459.tiff,canine soft tissue sarcoma,variant,20,99,130,20,11,0.55,0.08461538461538462
459.tiff,canine soft tissue sarcoma,baseline,30,17806,130,30,19,0.6333333333333333,0.14615384615384616
459.tiff,canine soft tissue sarcoma,variant,30,99,130,30,19,0.6333333333333333,0.14615384615384616
460.tiff,canine soft tissue sarcoma,baseline,10,15698,35,10,7,0.7,0.2
460.tiff,canine soft tissue sarcoma,variant,10,99,35,10,7,0.7,0.2
460.tiff,canine soft tissue sarcoma,baseline,20,15698,35,20,10,0.5,0.2857142857142857
460.tiff,canine soft tissue sarcoma,variant,20,99,35,20,10,0.5,0.2857142857142857
460.tiff,canine soft tissue sarcoma,baseline,30,15698,35,30,12,0.4,0.34285714285714286
