file_name,tumor_type,seed_index,arm,budget,n_detections,n_gt_mitotic,budget_delivered,tp_at_budget,precision_at_budget,recall_at_budget
094.tiff,human breast cancer,1,chromatin_od,30,99,81,30,21,0.7,0.25925925925925924
094.tiff,human breast cancer,1,tm_score,30,99,81,30,21,0.7,0.25925925925925924
201.tiff,canine lung cancer,1,chromatin_od,10,98,17,10,4,0.4,0.23529411764705882
201.tiff,canine lung cancer,1,tm_score,10,98,17,10,3,0.3,0.17647058823529413
201.tiff,canine lung cancer,1,chromatin_od,20,98,17,20,8,0.4,0.47058823529411764
201.tiff,canine lung cancer,1,tm_score,20,98,17,20,5,0.25,0.29411764705882354
201.tiff,canine lung cancer,1,chromatin_od,30,98,17,30,9,0.3,0.5294117647058824
201.tiff,canine lung cancer,1,tm_score,30,98,17,30,6,0.2,0.35294117647058826
233.tiff,canine lung cancer,1,chromatin_od,10,97,17,10,7,0.7,0.4117647058823529
233.tiff,canine lung cancer,1,tm_score,10,97,17,10,3,0.3,0.17647058823529413
233.tiff,canine lung cancer,1,chromatin_od,20,97,17,20,8,0.4,0.47058823529411764
233.tiff,canine lung cancer,1,tm_score,20,97,17,20,5,0.25,0.29411764705882354
233.tiff,canine lung cancer,1,chromatin_od,30,97,17,30,10,0.3333333333333333,0.5882352941176471
233.tiff,canine lung cancer,1,tm_score,30,97,17,30,8,0.26666666666666666,0.47058823529411764
245.tiff,canine lymphosarcoma,1,chromatin_od,10,95,89,10,0,0.0,0.0
245.tiff,canine lymphosarcoma,1,tm_score,10,95,89,10,0,0.0,0.0
245.tiff,canine lymphosarcoma,1,chromatin_od,20,95,89,20,0,0.0,0.0
245.tiff,canine lymphosarcoma,1,tm_score,20,95,89,20,0,0.0,0.0
245.tiff,canine lymphosarcoma,1,chromatin_od,30,95,89,30,1,0.03333333333333333,0.011235955056179775
245.tiff,canine lymphosarcoma,1,tm_score,30,95,89,30,0,0.0,0.0
246.tiff,canine lymphosarcoma,1,chromatin_od,10,97,115,10,10,1.0,0.08695652173913043
246.tiff,canine lymphosarcoma,1,tm_score,10,97,115,10,8,0.8,0.06956521739130435
246.tiff,canine lymphosarcoma,1,chromatin_od,20,97,115,20,19,0.95,0.16521739130434782
246.tiff,canine lymphosarcoma,1,tm_score,20,97,115,20,15,0.75,0.13043478260869565
246.tiff,canine lymphosarcoma,1,chromatin_od,30,97,115,30,26,0.8666666666666667,0.22608695652173913
246.tiff,canine lymphosarcoma,1,tm_score,30,97,115,30,20,0.6666666666666666,0.17391304347826086
300.tiff,canine cutaneous mast cell tumor,1,chromatin_od,10,87,180,10,9,0.9,0.05
300.tiff,canine cutaneous mast cell tumor,1,tm_score,10,87,180,10,7,0.7,0.03888888888888889
300.tiff,canine cutaneous mast cell tumor,1,chromatin_od,20,87,180,20,19,0.95,0.10555555555555556
300.tiff,canine cutaneous mast cell tumor,1,tm_score,20,87,180,20,14,0.7,0.07777777777777778
300.tiff,canine cutaneous mast cell tumor,1,chromatin_od,30,87,180,30,28,0.9333333333333333,0.15555555555555556
300.tiff,canine cutaneous mast cell tumor,1,tm_score,30,87,180,30,18,0.6,0.1
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od,10,100,217,10,8,0.8,0.03686635944700461
301.tiff,canine cutaneous mast cell tumor,1,tm_score,10,100,217,10,9,0.9,0.041474654377880185
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od,20,100,217,20,17,0.85,0.07834101382488479
301.tiff,canine cutaneous mast cell tumor,1,tm_score,20,100,217,20,18,0.9,0.08294930875576037
301.tiff,canine cutaneous mast cell tumor,1,chromatin_od,30,100,217,30,26,0.8666666666666667,0.11981566820276497
301.tiff,canine cutaneous mast cell tumor,1,tm_score,30,100,217,30,25,0.8333333333333334,0.1152073732718894
402.tiff,human neuroendocrine tumor,1,chromatin_od,10,99,104,10,7,0.7,0.0673076923076923
402.tiff,human neuroendocrine tumor,1,tm_score,10,99,104,10,7,0.7,0.0673076923076923
402.tiff,human neuroendocrine tumor,1,chromatin_od,20,99,104,20,14,0.7,0.1346153846153846
402.tiff,human neuroendocrine tumor,1,tm_score,20,99,104,20,16,0.8,0.15384615384615385
402.tiff,human neuroendocrine tumor,1,chromatin_od,30,99,104,30,19,0.6333333333333333,0.18269230769230768
402.tiff,human neuroendocrine tumor,1,tm_score,30,99,104,30,23,0.7666666666666667,0.22115384615384615
403.tiff,human neuroendocrine tumor,1,chromatin_od,10,95,52,10,5,0.5,0.09615384615384616
403.tiff,human neuroendocrine tumor,1,tm_score,10,95,52,10,4,0.4,0.07692307692307693
403.tiff,human neuroendocrine tumor,1,chromatin_od,20,95,52,20,9,0.45,0.17307692307692307
403.tiff,human neuroendocrine tumor,1,tm_score,20,95,52,20,6,0.3,0.11538461538461539
403.tiff,human neuroendocrine tumor,1,chromatin_od,30,95,52,30,13,0.43333333333333335,0.25
403.tiff,human neuroendocrine tumor,1,tm_score,30,95,52,30,7,0.23333333333333334,0.1346153846153846
459.tiff,canine soft tissue sarcoma,1,chromatin_od,10,99,130,10,9,0.9,0.06923076923076923
459.tiff,canine soft tissue sarcoma,1,tm_score,10,99,130,10,8,0.8,0.06153846153846154
459.tiff,canine soft tissue sarcoma,1,chromatin_od,20,99,130,20,16,0.8,0.12307692307692308
459.tiff,canine soft tissue sarcoma,1,tm_score,20,99,130,20,15,0.75,0.11538461538461539
459.tiff,canine soft tissue sarcoma,1,chromatin_od,30,99,130,30,25,0.8333333333333334,0.19230769230769232
459.tiff,canine soft tissue sarcoma,1,tm_score,30,99,130,30,20,0.6666666666666666,0.15384615384615385
460.tiff,canine soft tissue sarcoma,1,chromatin_od,10,97,35,10,8,0.8,0.22857142857142856
460.tiff,canine soft tissue sarcoma,1,tm_score,10,97,35,10,3,0.3,0.08571428571428572
460.tiff,canine soft tissue sarcoma,1,chromatin_od,20,97,35,20,12,0.6,0.34285714285714286
460.tiff,canine soft tissue sarcoma,1,tm_score,20,97,35,20,5,0.25,0.14285714285714285
460.tiff,canine soft tissue sarcoma,1,chromatin_od,30,97,35,30,15,0.5,0.42857142857142855
460.tiff,canine soft tissue sarcoma,1,tm_score,30,97,35,30,8,0.26666666666666666,0.22857142857142856
529.tiff,human melanoma,1,chromatin_od,10,98,19,10,8,0.8,0.42105263157894735
529.tiff,human melanoma,1,tm_score,10,98,19,10,6,0.6,0.3157894736842105
529.tiff,human melanoma,1,chromatin_od,20,98,19,20,11,0.55,0.5789473684210527
529.tiff,human melanoma,1,tm_score,20,98,19,20,7,0.35,0.3684210526315789
529.tiff,human melanoma,1,chromatin_od,30,98,19,30,12,0.4,0.631578947368421
529.tiff,human melanoma,1,tm_score,30,98,19,30,11,0.36666666666666664,0.5789473684210527
548.tiff,human melanoma,1,chromatin_od,10,99,238,10,9,0.9,0.037815126050420166
548.tiff,human melanoma,1,tm_score,10,99,238,10,8,0.8,0.03361344537815126
548.tiff,human melanoma,1,chromatin_od,20,99,238,20,14,0.7,0.058823529411764705
548.tiff,human melanoma,1,tm_score,20,99,238,20,17,0.85,0.07142857142857142
548.tiff,human melanoma,1,chromatin_od,30,99,238,30,23,0.7666666666666667,0.09663865546218488
548.tiff,human melanoma,1,tm_score,30,99,238,30,26,0.8666666666666667,0.1092436974789916
013.tiff,human breast cancer,2,chromatin_od,10,98,17,10,5,0.5,0.29411764705882354
013.tiff,human breast cancer,2,tm_score,10,98,17,10,6,0.6,0.35294117647058826
013.tiff,human breast cancer,2,chromatin_od,20,98,17,20,7,0.35,0.4117647058823529
013.tiff,human breast cancer,2,tm_score,20,98,17,20,6,0.3,0.35294117647058826
013.tiff,human breast cancer,2,chromatin_od,30,98,17,30,8,0.26666666666666666,0.47058823529411764
013.tiff,human breast cancer,2,tm_score,30,98,17,30,6,0.2,0.35294117647058826
094.tiff,human breast cancer,2,chromatin_od,10,98,81,10,5,0.5,0.06172839506172839
094.tiff,human breast cancer,2,tm_score,10,98,81,10,6,0.6,0.07407407407407407
094.tiff,human breast cancer,2,chromatin_od,20,98,81,20,14,0.7,0.1728395061728395
094.tiff,human breast cancer,2,tm_score,20,98,81,20,13,0.65,0.16049382716049382
094.tiff,human breast cancer,2,chromatin_od,30,98,81,30,21,0.7,0.25925925925925924
094.tiff,human breast cancer,2,tm_score,30,98,81,30,21,0.7,0.25925925925925924
201.tiff,canine lung cancer,2,chromatin_od,10,99,17,10,4,0.4,0.23529411764705882
201.tiff,canine lung cancer,2,tm_score,10,99,17,10,3,0.3,0.17647058823529413
201.tiff,canine lung cancer,2,chromatin_od,20,99,17,20,6,0.3,0.35294117647058826
201.tiff,canine lung cancer,2,tm_score,20,99,17,20,3,0.15,0.17647058823529413
201.tiff,canine lung cancer,2,chromatin_od,30,99,17,30,8,0.26666666666666666,0.47058823529411764
201.tiff,canine lung cancer,2,tm_score,30,99,17,30,3,0.1,0.17647058823529413
233.tiff,canine lung cancer,2,chromatin_od,10,98,17,10,6,0.6,0.35294117647058826
233.tiff,canine lung cancer,2,tm_score,10,98,17,10,6,0.6,0.35294117647058826
233.tiff,canine lung cancer,2,chromatin_od,20,98,17,20,8,0.4,0.47058823529411764
233.tiff,canine lung cancer,2,tm_score,20,98,17,20,7,0.35,0.4117647058823529
233.tiff,canine lung cancer,2,chromatin_od,30,98,17,30,10,0.3333333333333333,0.5882352941176471
233.tiff,canine lung cancer,2,tm_score,30,98,17,30,9,0.3,0.5294117647058824
245.tiff,canine lymphosarcoma,2,chromatin_od,10,94,89,10,3,0.3,0.033707865168539325
245.tiff,canine lymphosarcoma,2,tm_score,10,94,89,10,2,0.2,0.02247191011235955
245.tiff,canine lymphosarcoma,2,chromatin_od,20,94,89,20,5,0.25,0.056179775280898875
245.tiff,canine lymphosarcoma,2,tm_score,20,94,89,20,2,0.1,0.02247191011235955
245.tiff,canine lymphosarcoma,2,chromatin_od,30,94,89,30,7,0.23333333333333334,0.07865168539325842
245.tiff,canine lymphosarcoma,2,tm_score,30,94,89,30,4,0.13333333333333333,0.0449438202247191
246.tiff,canine lymphosarcoma,2,chromatin_od,10,99,115,10,10,1.0,0.08695652173913043
246.tiff,canine lymphosarcoma,2,tm_score,10,99,115,10,9,0.9,0.0782608695652174
246.tiff,canine lymphosarcoma,2,chromatin_od,20,99,115,20,18,0.9,0.1565217391304348
246.tiff,canine lymphosarcoma,2,tm_score,20,99,115,20,18,0.9,0.1565217391304348
246.tiff,canine lymphosarcoma,2,chromatin_od,30,99,115,30,22,0.7333333333333333,0.19130434782608696
246.tiff,canine lymphosarcoma,2,tm_score,30,99,115,30,25,0.8333333333333334,0.21739130434782608
300.tiff,canine cutaneous mast cell tumor,2,chromatin_od,10,99,180,10,10,1.0,0.05555555555555555
300.tiff,canine cutaneous mast cell tumor,2,tm_score,10,99,180,10,8,0.8,0.044444444444444446
300.tiff,canine cutaneous mast cell tumor,2,chromatin_od,20,99,180,20,19,0.95,0.10555555555555556
300.tiff,canine cutaneous mast cell tumor,2,tm_score,20,99,180,20,16,0.8,0.08888888888888889
300.tiff,canine cutaneous mast cell tumor,2,chromatin_od,30,99,180,30,28,0.9333333333333333,0.15555555555555556
300.tiff,canine cutaneous mast cell tumor,2,tm_score,30,99,180,30,23,0.7666666666666667,0.12777777777777777
301.tiff,canine cutaneous mast cell tumor,2,chromatin_od,10,96,217,10,9,0.9,0.041474654377880185
301.tiff,canine cutaneous mast cell tumor,2,tm_score,10,96,217,10,10,1.0,0.04608294930875576
301.tiff,canine cutaneous mast cell tumor,2,chromatin_od,20,96,217,20,19,0.95,0.08755760368663594
301.tiff,canine cutaneous mast cell tumor,2,tm_score,20,96,217,20,17,0.85,0.07834101382488479
301.tiff,canine cutaneous mast cell tumor,2,chromatin_od,30,96,217,30,29,0.9666666666666667,0.1336405529953917
301.tiff,canine cutaneous mast cell tumor,2,tm_score,30,96,217,30,24,0.8,0.11059907834101383
402.tiff,human neuroendocrine tumor,2,chromatin_od,10,95,104,10,6,0.6,0.057692307692307696
402.tiff,human neuroendocrine tumor,2,tm_score,10,95,104,10,6,0.6,0.057692307692307696
402.tiff,human neuroendocrine tumor,2,chromatin_od,20,95,104,20,14,0.7,0.1346153846153846
402.tiff,human neuroendocrine tumor,2,tm_score,20,95,104,20,11,0.55,0.10576923076923077
402.tiff,human neuroendocrine tumor,2,chromatin_od,30,95,104,30,17,0.5666666666666667,0.16346153846153846
402.tiff,human neuroendocrine tumor,2,tm_score,30,95,104,30,16,0.5333333333333333,0.15384615384615385
403.tiff,human neuroendocrine tumor,2,chromatin_od,10,98,52,10,6,0.6,0.11538461538461539
403.tiff,human neuroendocrine tumor,2,tm_score,10,98,52,10,2,0.2,0.038461538461538464
403.tiff,human neuroendocrine tumor,2,chromatin_od,20,98,52,20,10,0.5,0.19230769230769232
403.tiff,human neuroendocrine tumor,2,tm_score,20,98,52,20,6,0.3,0.11538461538461539
403.tiff,human neuroendocrine tumor,2,chromatin_od,30,98,52,30,14,0.4666666666666667,0.2692307692307692
403.tiff,human neuroendocrine tumor,2,tm_score,30,98,52,30,8,0.26666666666666666,0.15384615384615385
459.tiff,canine soft tissue sarcoma,2,chromatin_od,10,99,130,10,10,1.0,0.07692307692307693
459.tiff,canine soft tissue sarcoma,2,tm_score,10,99,130,10,6,0.6,0.046153846153846156
459.tiff,canine soft tissue sarcoma,2,chromatin_od,20,99,130,20,17,0.85,0.13076923076923078
459.tiff,canine soft tissue sarcoma,2,tm_score,20,99,130,20,11,0.55,0.08461538461538462
459.tiff,canine soft tissue sarcoma,2,chromatin_od,30,99,130,30,23,0.7666666666666667,0.17692307692307693
459.tiff,canine soft tissue sarcoma,2,tm_score,30,99,130,30,13,0.43333333333333335,0.1
460.tiff,canine soft tissue sarcoma,2,chromatin_od,10,99,35,10,9,0.9,0.2571428571428571
460.tiff,canine soft tissue sarcoma,2,tm_score,10,99,35,10,7,0.7,0.2
460.tiff,canine soft tissue sarcoma,2,chromatin_od,20,99,35,20,18,0.9,0.5142857142857142
460.tiff,canine soft tissue sarcoma,2,tm_score,20,99,35,20,16,0.8,0.45714285714285713
460.tiff,canine soft tissue sarcoma,2,chromatin_od,30,99,35,30,19,0.6333333333333333,0.5428571428571428
460.tiff,canine soft tissue sarcoma,2,tm_score,30,99,35,30,18,0.6,0.5142857142857142
529.tiff,human melanoma,2,chromatin_od,10,91,19,10,4,0.4,0.21052631578947367
529.tiff,human melanoma,2,tm_score,10,91,19,10,1,0.1,0.05263157894736842
529.tiff,human melanoma,2,chromatin_od,20,91,19,20,5,0.25,0.2631578947368421
529.tiff,human melanoma,2,tm_score,20,91,19,20,1,0.05,0.05263157894736842
529.tiff,human melanoma,2,chromatin_od,30,91,19,30,5,0.16666666666666666,0.2631578947368421
529.tiff,human melanoma,2,tm_score,30,91,19,30,2,0.06666666666666667,0.10526315789473684
548.tiff,human melanoma,2,chromatin_od,10,99,238,10,9,0.9,0.037815126050420166
548.tiff,human melanoma,2,tm_score,10,99,238,10,8,0.8,0.03361344537815126
548.tiff,human melanoma,2,chromatin_od,20,99,238,20,14,0.7,0.058823529411764705
548.tiff,human melanoma,2,tm_score,20,99,238,20,16,0.8,0.06722689075630252
548.tiff,human melanoma,2,chromatin_od,30,99,238,30,22,0.7333333333333333,0.09243697478991597
548.tiff,human melanoma,2,tm_score,30,99,238,30,20,0.6666666666666666,0.08403361344537816
013.tiff,human breast cancer,3,chromatin_od,10,97,17,10,4,0.4,0.23529411764705882
013.tiff,human breast cancer,3,tm_score,10,97,17,10,3,0.3,0.17647058823529413
013.tiff,human breast cancer,3,chromatin_od,20,97,17,20,5,0.25,0.29411764705882354
013.tiff,human breast cancer,3,tm_score,20,97,17,20,4,0.2,0.23529411764705882
013.tiff,human breast cancer,3,chromatin_od,30,97,17,30,7,0.23333333333333334,0.4117647058823529
013.tiff,human breast cancer,3,tm_score,30,97,17,30,4,0.13333333333333333,0.23529411764705882
094.tiff,human breast cancer,3,chromatin_od,10,99,81,10,5,0.5,0.06172839506172839
094.tiff,human breast cancer,3,tm_score,10,99,81,10,7,0.7,0.08641975308641975
094.tiff,human breast cancer,3,chromatin_od,20,99,81,20,14,0.7,0.1728395061728395
094.tiff,human breast cancer,3,tm_score,20,99,81,20,15,0.75,0.18518518518518517
094.tiff,human breast cancer,3,chromatin_od,30,99,81,30,21,0.7,0.25925925925925924
094.tiff,human breast cancer,3,tm_score,30,99,81,30,25,0.8333333333333334,0.30864197530864196
201.tiff,canine lung cancer,3,chromatin_od,10,99,17,10,4,0.4,0.23529411764705882
201.tiff,canine lung cancer,3,tm_score,10,99,17,10,3,0.3,0.17647058823529413
201.tiff,canine lung cancer,3,chromatin_od,20,99,17,20,6,0.3,0.35294117647058826
201.tiff,canine lung cancer,3,tm_score,20,99,17,20,3,0.15,0.17647058823529413
201.tiff,canine lung cancer,3,chromatin_od,30,99,17,30,8,0.26666666666666666,0.47058823529411764
201.tiff,canine lung cancer,3,tm_score,30,99,17,30,3,0.1,0.17647058823529413
233.tiff,canine lung cancer,3,chromatin_od,10,99,17,10,7,0.7,0.4117647058823529
233.tiff,canine lung cancer,3,tm_score,10,99,17,10,7,0.7,0.4117647058823529
233.tiff,canine lung cancer,3,chromatin_od,20,99,17,20,8,0.4,0.47058823529411764
233.tiff,canine lung cancer,3,tm_score,20,99,17,20,8,0.4,0.47058823529411764
233.tiff,canine lung cancer,3,chromatin_od,30,99,17,30,9,0.3,0.5294117647058824
233.tiff,canine lung cancer,3,tm_score,30,99,17,30,9,0.3,0.5294117647058824
245.tiff,canine lymphosarcoma,3,chromatin_od,10,95,89,10,0,0.0,0.0
245.tiff,canine lymphosarcoma,3,tm_score,10,95,89,10,1,0.1,0.011235955056179775
245.tiff,canine lymphosarcoma,3,chromatin_od,20,95,89,20,4,0.2,0.0449438202247191
245.tiff,canine lymphosarcoma,3,tm_score,20,95,89,20,2,0.1,0.02247191011235955
245.tiff,canine lymphosarcoma,3,chromatin_od,30,95,89,30,5,0.16666666666666666,0.056179775280898875
245.tiff,canine lymphosarcoma,3,tm_score,30,95,89,30,5,0.16666666666666666,0.056179775280898875
246.tiff,canine lymphosarcoma,3,chromatin_od,10,98,115,10,10,1.0,0.08695652173913043
246.tiff,canine lymphosarcoma,3,tm_score,10,98,115,10,10,1.0,0.08695652173913043
246.tiff,canine lymphosarcoma,3,chromatin_od,20,98,115,20,17,0.85,0.14782608695652175
246.tiff,canine lymphosarcoma,3,tm_score,20,98,115,20,19,0.95,0.16521739130434782
246.tiff,canine lymphosarcoma,3,chromatin_od,30,98,115,30,24,0.8,0.20869565217391303
246.tiff,canine lymphosarcoma,3,tm_score,30,98,115,30,29,0.9666666666666667,0.25217391304347825
300.tiff,canine cutaneous mast cell tumor,3,chromatin_od,10,97,180,10,10,1.0,0.05555555555555555
