budget,boot_median_ratio,boot_ci_lo,boot_ci_hi,boot_frac_ratio_ge_1
10,0.20998687664042012,0.11267245416231401,0.3114321746502758,0.0
20,0.38465086573942675,0.22958991318510918,0.6133620801385238,0.0002
30,0.3207132971412947,0.18784816223001083,0.4979049422799421,0.0
