budget,n_positive,n_negative,n_zero,sign_test_p,mean_delta,ci_lo,ci_hi
10,11,3,0,0.0286865234375,0.033993895015269116,0.0072127593510848236,0.060775030679453404
20,11,3,0,0.0286865234375,0.061539554770893345,0.01950701577359959,0.1035720937681871
30,12,2,0,0.0064697265625,0.061036679783669945,0.020069261237703563,0.10200409832963633
