seed_index,file_name,tumor_type,base_size,n_retries,seed_ann_id,map_median,mad_scale,n_peaks,n_detections,roi_pixels,t_setup_s,t1_refine_seed_box_s,t2_patch_template_build_s,t3_template_matching_s,t4_threshold_peak_extraction_s,t5_nms_selfhit_s,t6_baseline_s,t6a_od_pad_s,t6b_od51_loop_s,t6c_chromatin_od_rank_s,t_shared_stages_s,t_chromatin_od_overhead_s,t_baseline_pipeline_s,t_chromatin_od_pipeline_s,t_outer_total_s,chromatin_od_nan_rate,chromatin_od_largest_tie_block,t_setup_ms,t1_refine_seed_box_ms,t2_patch_template_build_ms,t3_template_matching_ms,t4_threshold_peak_extraction_ms,t5_nms_selfhit_ms,t6_baseline_ms,t6a_od_pad_ms,t6b_od51_loop_ms,t6c_chromatin_od_rank_ms,t_shared_stages_ms,t_chromatin_od_overhead_ms,t_baseline_pipeline_ms,t_chromatin_od_pipeline_ms,t_outer_total_ms
0,013.tiff,human breast cancer,31,0,254,-0.00395,0.10799,100,97,39047580,3.820428,0.00098,3.9e-05,1.31985,0.265392,0.000933,0.000317,0.098654,0.004522,0.000395,1.587194,0.103571,1.58751,1.690764,1.716894,0.0,1,3820.428,0.98,0.039,1319.85,265.392,0.933,0.317,98.654,4.522,0.395,1587.194,103.571,1587.51,1690.764,1716.894
0,094.tiff,human breast cancer,25,0,2512,-0.00341,0.04558,100,96,38100492,2.747994,0.000835,2.6e-05,0.944147,0.26104,0.000655,0.00027,0.028217,0.003815,0.000327,1.206704,0.032359,1.206974,1.239063,1.264717,0.0,1,2747.994,0.835,0.026,944.147,261.04,0.655,0.27,28.217,3.815,0.327,1206.704,32.359,1206.974,1239.063,1264.717
0,201.tiff,canine lung cancer,51,0,4457,-0.02843,0.6123,100,98,32444341,2.319135,0.001087,2.5e-05,1.042164,0.216716,0.000667,0.000206,0.023565,0.004237,0.000332,1.26066,0.028134,1.260866,1.288794,1.30874,0.0,1,2319.135,1.087,0.025,1042.164,216.716,0.667,0.206,23.565,4.237,0.332,1260.66,28.134,1260.866,1288.794,1308.74
0,233.tiff,canine lung cancer,25,0,5761,-0.01397,0.1566,100,97,32444341,2.319466,0.001242,2.4e-05,0.816991,0.229677,0.000662,0.000203,0.024241,0.004256,0.000382,1.048595,0.028878,1.048798,1.077473,1.096576,0.0,1,2319.466,1.242,0.024,816.991,229.677,0.662,0.203,24.241,4.256,0.382,1048.595,28.878,1048.798,1077.473,1096.576
0,245.tiff,canine lymphosarcoma,47,0,6274,-0.00741,0.21427,100,89,32444341,2.459124,0.00115,2.3e-05,0.975944,0.220121,0.000649,0.0002,0.026205,0.003973,0.000317,1.197888,0.030496,1.198088,1.228384,1.250777,0.0,1,2459.124,1.15,0.023,975.944,220.121,0.649,0.2,26.205,3.973,0.317,1197.888,30.496,1198.088,1228.384,1250.777
0,246.tiff,canine lymphosarcoma,41,0,6548,-0.00539,0.16638,100,96,32444341,2.285308,0.001433,2.3e-05,0.895024,0.215046,0.000658,0.0002,0.027003,0.004259,0.000327,1.112185,0.031588,1.112384,1.143773,1.164158,0.0,1,2285.308,1.433,0.023,895.024,215.046,0.658,0.2,27.003,4.259,0.327,1112.185,31.588,1112.384,1143.773,1164.158
0,300.tiff,canine cutaneous mast cell tumor,45,0,14581,-0.05719,0.37148,100,98,31171245,2.267152,0.001331,2.3e-05,0.896676,0.209356,0.000633,0.000203,0.022898,0.003934,0.000313,1.10802,0.027145,1.108224,1.135165,1.154656,0.0,1,2267.152,1.331,0.023,896.676,209.356,0.633,0.203,22.898,3.934,0.313,1108.02,27.145,1108.224,1135.165,1154.656
0,301.tiff,canine cutaneous mast cell tumor,41,0,14969,-0.01365,0.20158,100,98,31171245,2.242066,0.001511,2.4e-05,0.8764,0.204534,0.000671,0.0002,0.022615,0.003879,0.000328,1.083141,0.026822,1.08334,1.109963,1.12669,0.0,1,2242.066,1.511,0.024,876.4,204.534,0.671,0.2,22.615,3.879,0.328,1083.141,26.822,1083.34,1109.963,1126.69
0,402.tiff,human neuroendocrine tumor,29,0,20254,-0.05754,0.87053,100,98,39047580,2.726494,0.000909,2.1e-05,0.980359,0.2601,0.000668,0.000201,0.02864,0.004035,0.000321,1.242057,0.032997,1.242258,1.275053,1.297331,0.0,1,2726.494,0.909,0.021,980.359,260.1,0.668,0.201,28.64,4.035,0.321,1242.057,32.997,1242.258,1275.053,1297.331
0,403.tiff,human neuroendocrine tumor,51,1,20356,-0.0071,0.71813,100,98,39047580,2.735853,0.001344,2e-05,1.260299,0.248536,0.000652,0.000196,0.097873,0.004158,0.00031,1.51085,0.102341,1.511046,1.613192,1.63436,0.0,1,2735.853,1.344,0.02,1260.299,248.536,0.652,0.196,97.873,4.158,0.31,1510.85,102.341,1511.046,1613.192,1634.36
