seed_index,budget,arm,pooled_precision
0,10,tm_score,0.5
0,10,chromatin_od,0.6642857142857143
0,20,tm_score,0.45357142857142857
0,20,chromatin_od,0.5964285714285714
0,30,tm_score,0.42857142857142855
0,30,chromatin_od,0.5357142857142857
1,10,tm_score,0.55
1,10,chromatin_od,0.6714285714285714
1,20,tm_score,0.5142857142857142
1,20,chromatin_od,0.6107142857142858
1,30,tm_score,0.47619047619047616
1,30,chromatin_od,0.5666666666666667
2,10,tm_score,0.5714285714285714
2,10,chromatin_od,0.6857142857142857
2,20,tm_score,0.5107142857142857
2,20,chromatin_od,0.6214285714285714
2,30,tm_score,0.45714285714285713
2,30,chromatin_od,0.5547619047619048
3,10,tm_score,0.6714285714285714
3,10,chromatin_od,0.6571428571428571
3,20,tm_score,0.5642857142857143
3,20,chromatin_od,0.6035714285714285
3,30,tm_score,0.5238095238095238
3,30,chromatin_od,0.5619047619047619
4,10,tm_score,0.6
4,10,chromatin_od,0.6928571428571428
4,20,tm_score,0.5464285714285714
4,20,chromatin_od,0.5857142857142857
4,30,tm_score,0.5047619047619047
4,30,chromatin_od,0.5357142857142857
